invoice_id,invoice_date,invoice_time,city,product_line_name,customer_type,gender,payment_method,quantity,unit_price,total_amount,gross_income,rating
630-74-5166,2019-03-22,20:19:00,Yangon,Sports and travel,Normal,Male,Cash,6,62.13,391.42,18.64,7.4
588-01-7461,2019-03-24,10:43:00,Naypyitaw,Food and beverages,Normal,Female,Cash,9,33.98,321.11,15.29,4.2
861-77-0145,2019-03-03,14:30:00,Naypyitaw,Electronic accessories,Member,Male,Cash,10,81.97,860.69,40.99,9.2
479-26-8945,2019-02-05,11:32:00,Mandalay,Sports and travel,Member,Female,Ewallet,2,16.49,34.63,1.65,4.6
210-67-5886,2019-02-05,10:41:00,Naypyitaw,Health and beauty,Member,Female,Credit card,3,98.21,309.36,14.73,7.8
227-78-1148,2019-02-15,12:44:00,Mandalay,Fashion accessories,Normal,Female,Cash,7,72.84,535.37,25.49,8.4
645-44-1170,2019-01-19,20:07:00,Yangon,Home and lifestyle,Member,Male,Ewallet,9,58.07,548.76,26.13,4.3
237-01-6122,2019-02-01,20:31:00,Naypyitaw,Home and lifestyle,Member,Female,Credit card,9,80.79,763.47,36.36,9.5
225-98-1496,2019-03-02,13:01:00,Naypyitaw,Fashion accessories,Normal,Female,Credit card,3,27.02,85.11,4.05,7.1
291-32-1427,2019-03-05,12:29:00,Mandalay,Fashion accessories,Member,Male,Ewallet,5,21.94,115.19,5.49,5.3
659-65-8956,2019-01-16,15:26:00,Mandalay,Fashion accessories,Member,Male,Ewallet,1,51.36,53.93,2.57,5.2
642-32-2990,2019-02-02,20:48:00,Yangon,Food and beverages,Normal,Female,Ewallet,10,10.96,115.08,5.48,6.0
378-24-2715,2019-01-20,20:38:00,Mandalay,Home and lifestyle,Normal,Male,Ewallet,2,53.44,112.22,5.34,4.1
638-60-7125,2019-02-14,17:03:00,Yangon,Electronic accessories,Normal,Female,Credit card,8,99.56,836.3,39.82,5.2
659-36-1684,2019-01-12,12:02:00,Naypyitaw,Sports and travel,Member,Male,Credit card,7,57.12,419.83,19.99,6.5
219-22-9386,2019-03-09,17:26:00,Mandalay,Sports and travel,Member,Male,Credit card,9,99.96,944.62,44.98,4.2
336-78-2147,2019-03-13,19:52:00,Naypyitaw,Home and lifestyle,Member,Male,Credit card,8,63.91,536.84,25.56,4.6
268-27-6179,2019-03-09,14:57:00,Mandalay,Fashion accessories,Member,Female,Ewallet,8,56.47,474.35,22.59,7.3
668-90-8900,2019-03-10,18:44:00,Yangon,Home and lifestyle,Normal,Female,Credit card,7,93.69,688.62,32.79,4.5
870-54-3162,2019-01-27,13:26:00,Yangon,Sports and travel,Normal,Female,Cash,5,32.25,169.31,8.06,9.0
189-08-9157,2019-01-08,16:17:00,Naypyitaw,Fashion accessories,Normal,Female,Credit card,9,31.73,299.85,14.28,5.9
663-86-9076,2019-01-08,15:57:00,Naypyitaw,Food and beverages,Member,Female,Ewallet,8,68.54,575.74,27.42,8.5
549-84-7482,2019-02-08,11:15:00,Mandalay,Sports and travel,Normal,Female,Ewallet,9,90.28,853.15,40.63,7.2
191-10-6171,2019-01-25,13:18:00,Mandalay,Fashion accessories,Normal,Female,Cash,7,39.62,291.21,13.87,7.5
802-70-5316,2019-03-06,20:34:00,Yangon,Sports and travel,Member,Female,Cash,6,92.13,580.42,27.64,8.3
695-51-0018,2019-02-10,18:36:00,Mandalay,Sports and travel,Normal,Female,Cash,4,34.84,146.33,6.97,7.4
590-83-4591,2019-02-17,14:40:00,Mandalay,Electronic accessories,Member,Male,Credit card,6,87.45,550.94,26.24,8.8
483-71-1164,2019-03-08,16:43:00,Naypyitaw,Health and beauty,Normal,Female,Ewallet,6,81.3,512.19,24.39,5.3
597-78-7908,2019-02-18,19:39:00,Naypyitaw,Fashion accessories,Normal,Male,Cash,3,90.22,284.19,13.53,6.2
700-81-1757,2019-01-18,20:59:00,Yangon,Electronic accessories,Normal,Female,Credit card,5,26.31,138.13,6.58,8.8
354-39-5160,2019-02-18,15:39:00,Yangon,Home and lifestyle,Member,Female,Cash,6,34.42,216.85,10.33,9.8
241-72-9525,2019-02-16,12:21:00,Mandalay,Sports and travel,Normal,Male,Cash,10,51.91,545.06,25.96,8.2
575-30-8091,2019-03-16,19:25:00,Yangon,Sports and travel,Normal,Male,Ewallet,8,72.5,609.0,29.0,9.2
731-81-9469,2019-01-23,13:00:00,Naypyitaw,Sports and travel,Member,Female,Credit card,10,89.8,942.9,44.9,5.4
280-17-4359,2019-01-25,13:48:00,Naypyitaw,Health and beauty,Member,Male,Cash,10,90.5,950.25,45.25,8.1
338-65-2210,2019-02-05,19:57:00,Naypyitaw,Health and beauty,Member,Female,Cash,10,68.6,720.3,34.3,9.1
488-25-4221,2019-02-22,10:36:00,Naypyitaw,Food and beverages,Member,Female,Credit card,1,30.41,31.93,1.52,8.4
239-10-7476,2019-01-21,16:37:00,Yangon,Home and lifestyle,Normal,Female,Ewallet,6,77.95,491.09,23.39,8.0
458-41-1477,2019-03-08,17:11:00,Naypyitaw,Health and beauty,Normal,Female,Credit card,6,46.26,291.44,13.88,9.5
685-64-1609,2019-02-10,12:28:00,Yangon,Fashion accessories,Member,Female,Ewallet,10,30.14,316.47,15.07,9.2
568-90-5112,2019-03-19,12:46:00,Naypyitaw,Health and beauty,Normal,Male,Credit card,4,66.14,277.79,13.23,5.6
262-47-2794,2019-03-06,15:07:00,Mandalay,Home and lifestyle,Member,Male,Credit card,8,71.86,603.62,28.74,6.2
238-49-0436,2019-03-27,13:48:00,Yangon,Health and beauty,Normal,Male,Credit card,8,32.46,272.66,12.98,4.9
608-96-3517,2019-03-23,19:20:00,Mandalay,Fashion accessories,Member,Female,Credit card,4,91.54,384.47,18.31,4.8
584-86-7256,2019-03-11,16:07:00,Naypyitaw,Sports and travel,Member,Male,Credit card,7,34.56,254.02,12.1,7.3
746-94-0204,2019-01-29,11:56:00,Yangon,Fashion accessories,Normal,Male,Credit card,9,83.24,786.62,37.46,7.4
214-17-6927,2019-02-07,18:23:00,Naypyitaw,Food and beverages,Normal,Female,Ewallet,6,16.48,103.82,4.94,9.9
400-89-4171,2019-01-28,13:05:00,Naypyitaw,Sports and travel,Normal,Female,Cash,8,80.97,680.15,32.39,9.3
782-95-9291,2019-02-20,15:55:00,Yangon,Food and beverages,Member,Male,Credit card,5,92.29,484.52,23.07,9.0
279-74-2924,2019-01-04,19:40:00,Mandalay,Electronic accessories,Member,Male,Cash,1,72.17,75.78,3.61,6.1
307-85-2293,2019-03-07,13:58:00,Mandalay,Home and lifestyle,Normal,Male,Ewallet,5,50.28,263.97,12.57,9.7
743-04-1105,2019-03-30,14:43:00,Mandalay,Health and beauty,Member,Male,Ewallet,9,97.22,918.73,43.75,6.0
423-57-2993,2019-03-27,19:18:00,Mandalay,Sports and travel,Normal,Male,Ewallet,6,93.39,588.36,28.02,10.0
894-41-5205,2019-01-19,19:39:00,Naypyitaw,Food and beverages,Normal,Female,Credit card,8,43.18,362.71,17.27,8.3
275-28-0149,2019-02-25,16:21:00,Yangon,Sports and travel,Normal,Male,Cash,1,63.69,66.87,3.18,6.0
101-17-6199,2019-03-13,19:44:00,Yangon,Food and beverages,Normal,Male,Credit card,7,45.79,336.56,16.03,7.0
423-80-0988,2019-01-30,19:42:00,Naypyitaw,Sports and travel,Normal,Male,Ewallet,2,76.4,160.44,7.64,6.5
548-46-9322,2019-02-20,15:24:00,Mandalay,Food and beverages,Normal,Male,Credit card,10,39.9,418.95,19.95,5.9
505-02-0892,2019-02-25,14:12:00,Mandalay,Health and beauty,Member,Male,Ewallet,8,42.57,357.59,17.03,5.6
234-65-2137,2019-01-16,13:32:00,Naypyitaw,Home and lifestyle,Normal,Male,Cash,10,95.58,1003.59,47.79,4.8
687-47-8271,2019-02-08,16:20:00,Yangon,Fashion accessories,Normal,Male,Credit card,10,98.98,1039.29,49.49,8.7
796-32-9050,2019-01-19,16:31:00,Yangon,Food and beverages,Normal,Male,Cash,6,51.28,323.06,15.38,6.5
105-31-1824,2019-02-01,15:10:00,Yangon,Sports and travel,Member,Male,Credit card,7,69.52,510.97,24.33,8.5
249-42-3782,2019-01-03,11:36:00,Yangon,Health and beauty,Normal,Male,Ewallet,5,70.01,367.55,17.5,5.5
316-55-4634,2019-01-26,12:45:00,Mandalay,Food and beverages,Member,Male,Credit card,5,80.05,420.26,20.01,9.4
733-33-4967,2019-03-03,19:17:00,Naypyitaw,Electronic accessories,Normal,Male,Cash,8,20.85,175.14,8.34,6.3
608-27-6295,2019-01-19,17:34:00,Mandalay,Electronic accessories,Member,Male,Credit card,6,52.89,333.21,15.87,9.8
414-12-7047,2019-01-18,12:04:00,Mandalay,Food and beverages,Normal,Male,Ewallet,8,19.79,166.24,7.92,8.7
827-26-2100,2019-03-21,16:21:00,Yangon,Home and lifestyle,Member,Male,Ewallet,9,33.84,319.79,15.23,8.8
175-54-2529,2019-03-03,17:01:00,Yangon,Food and beverages,Member,Male,Credit card,8,22.17,186.23,8.87,9.6
139-52-2867,2019-02-13,10:50:00,Naypyitaw,Fashion accessories,Normal,Female,Credit card,7,22.51,165.45,7.88,4.8
407-63-8975,2019-03-23,19:16:00,Yangon,Food and beverages,Normal,Male,Ewallet,6,73.88,465.44,22.16,4.4
342-65-4817,2019-01-28,16:47:00,Naypyitaw,Health and beauty,Member,Male,Ewallet,3,86.8,273.42,13.02,9.9
130-98-8941,2019-02-09,10:00:00,Naypyitaw,Fashion accessories,Normal,Male,Cash,7,64.26,472.31,22.49,5.7
434-83-9547,2019-01-23,11:51:00,Naypyitaw,Food and beverages,Member,Male,Cash,8,38.47,323.15,15.39,7.7
851-28-6367,2019-03-23,10:55:00,Yangon,Sports and travel,Member,Male,Ewallet,10,15.5,162.75,7.75,8.0
824-88-3614,2019-01-25,15:00:00,Naypyitaw,Health and beauty,Normal,Male,Ewallet,8,34.31,288.2,13.72,5.7
586-25-0848,2019-03-04,11:19:00,Yangon,Sports and travel,Normal,Female,Credit card,7,12.34,90.7,4.32,6.7
895-66-0685,2019-03-05,19:46:00,Mandalay,Food and beverages,Member,Male,Ewallet,3,18.08,56.95,2.71,8.0
305-14-0245,2019-03-03,19:00:00,Mandalay,Home and lifestyle,Member,Female,Ewallet,8,94.49,793.72,37.8,7.5
732-04-5373,2019-02-08,10:53:00,Mandalay,Home and lifestyle,Member,Male,Cash,4,46.47,195.17,9.29,7.0
400-60-7251,2019-02-10,12:50:00,Yangon,Home and lifestyle,Normal,Male,Ewallet,1,74.07,77.77,3.7,9.9
593-65-1552,2019-01-28,20:50:00,Naypyitaw,Home and lifestyle,Normal,Female,Credit card,4,69.81,293.2,13.96,5.9
284-34-9626,2019-02-11,10:39:00,Mandalay,Home and lifestyle,Normal,Female,Credit card,3,77.04,242.68,11.56,7.2
437-58-8131,2019-01-15,13:41:00,Mandalay,Fashion accessories,Normal,Female,Ewallet,2,73.52,154.39,7.35,4.6
286-43-6208,2019-03-16,19:08:00,Naypyitaw,Food and beverages,Normal,Female,Cash,9,87.8,829.71,39.51,9.2
641-43-2399,2019-01-26,20:23:00,Mandalay,Home and lifestyle,Normal,Male,Ewallet,4,25.55,107.31,5.11,5.7
831-07-6050,2019-03-19,11:30:00,Yangon,Electronic accessories,Normal,Male,Credit card,5,32.71,171.73,8.18,9.9
556-86-3144,2019-01-13,19:30:00,Naypyitaw,Fashion accessories,Member,Female,Cash,1,74.29,78.0,3.71,5.0
848-24-9445,2019-03-26,18:03:00,Naypyitaw,Health and beauty,Member,Male,Cash,2,43.7,91.77,4.37,4.9
856-22-8149,2019-03-23,10:13:00,Yangon,Home and lifestyle,Normal,Female,Ewallet,1,25.29,26.55,1.26,6.1
699-01-4164,2019-03-12,19:58:00,Naypyitaw,Health and beauty,Normal,Male,Credit card,4,41.5,174.3,8.3,8.2
420-11-4919,2019-02-17,19:57:00,Naypyitaw,Food and beverages,Member,Female,Credit card,5,71.39,374.8,17.85,5.5
606-80-4905,2019-01-29,10:01:00,Naypyitaw,Sports and travel,Member,Female,Credit card,6,19.15,120.65,5.75,6.8
542-41-0513,2019-03-15,11:57:00,Mandalay,Electronic accessories,Member,Female,Cash,4,57.49,241.46,11.5,6.6
426-39-2418,2019-01-14,10:02:00,Naypyitaw,Electronic accessories,Normal,Male,Cash,7,61.41,451.36,21.49,9.8
875-46-5808,2019-02-06,14:51:00,Mandalay,Health and beauty,Member,Male,Ewallet,10,25.9,271.95,12.95,8.7
394-43-4238,2019-02-15,12:42:00,Mandalay,Home and lifestyle,Member,Male,Credit card,5,17.77,93.29,4.44,5.4
749-24-1565,2019-01-03,12:02:00,Yangon,Health and beauty,Normal,Female,Ewallet,9,23.03,217.63,10.36,7.9
672-51-8681,2019-01-04,18:19:00,Naypyitaw,Electronic accessories,Member,Female,Credit card,9,66.65,629.84,29.99,9.7
263-87-5680,2019-03-18,17:38:00,Naypyitaw,Home and lifestyle,Member,Female,Ewallet,10,28.53,299.57,14.27,7.8
573-58-9734,2019-03-28,13:41:00,Mandalay,Fashion accessories,Normal,Female,Ewallet,3,30.37,95.67,4.56,5.1
817-69-8206,2019-03-02,19:42:00,Mandalay,Electronic accessories,Normal,Female,Credit card,9,99.73,942.45,44.88,6.5
888-02-0338,2019-01-25,20:24:00,Yangon,Electronic accessories,Normal,Male,Ewallet,9,26.23,247.87,11.8,5.9
677-11-0152,2019-01-16,18:08:00,Naypyitaw,Food and beverages,Normal,Female,Cash,9,93.26,881.31,41.97,8.8
142-63-6033,2019-03-20,19:17:00,Mandalay,Home and lifestyle,Normal,Male,Ewallet,5,92.36,484.89,23.09,4.9
656-16-1063,2019-01-04,13:24:00,Mandalay,Sports and travel,Normal,Male,Credit card,3,46.42,146.22,6.96,4.4
891-58-8335,2019-03-11,15:53:00,Mandalay,Sports and travel,Member,Female,Cash,7,29.61,217.63,10.36,6.5
802-43-8934,2019-03-22,15:05:00,Yangon,Home and lifestyle,Normal,Male,Credit card,1,18.28,19.19,0.91,8.3
560-30-5617,2019-03-24,18:27:00,Mandalay,Sports and travel,Normal,Female,Cash,5,24.77,130.04,6.19,8.5
319-74-2561,2019-02-21,16:55:00,Yangon,Electronic accessories,Member,Female,Cash,3,94.64,298.12,14.2,5.5
